BN	TN	SubNum	hand	isTrain	isChanged	symbol	cue	isMasked	digitChangePos	digitChangeValue	precueTime	windowSize	press1	press2	press3	press4	press5	press6	press7	RT	ET	MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	crossTime
37	1	2	2	1	0	$	3241513	1	-1	0	761	1	3	2	4	1	5	1	3	830	4640	3810	0	0	1	3	2	4	1	5	1	3	2	2	2	2	2	2	2	1595	1815	3215	3755	4225	4890	5070	3500	2940	0	-1	8620	-1	-1	0	0	0
37	2	2	2	1	0	$	3241513	1	-1	0	869	2	3	2	4	1	5	1	3	665	2865	2200	0	0	3	3	2	4	1	5	1	3	2	2	2	2	2	2	2	1535	1735	2230	2615	2965	3270	3460	3500	2940	0	-1	6950	-1	-1	0	0	0
37	3	2	2	1	0	#	3254124	1	-1	0	965	3	3	2	5	4	1	2	4	1045	3165	2120	0	0	2	3	2	5	4	1	2	4	2	2	2	2	2	2	2	2010	2265	2795	3030	3530	3660	3870	3500	2940	0	-1	7345	-1	-1	0	0	0
37	4	2	2	1	0	#	3254124	0	-1	0	841	1	3	2	5	4	1	2	4	830	2650	1820	0	0	3	3	2	5	4	1	2	4	2	2	2	2	2	2	2	1675	1900	2240	2480	2830	2975	3225	3500	2940	0	-1	6710	-1	-1	0	0	0
37	5	2	2	1	0	#	3254124	1	-1	0	710	2	3	2	5	4	1	2	4	490	2045	1555	0	0	3	3	2	5	4	1	2	4	2	2	2	2	2	2	2	1200	1395	1690	1850	2155	2300	2505	3500	2940	0	-1	5970	-1	-1	0	0	0
37	6	2	2	1	0	#	3254124	0	-1	0	769	7	3	2	5	4	1	2	4	545	2060	1515	0	0	3	3	2	5	4	1	2	4	2	2	2	2	2	2	2	1315	1505	1765	1940	2220	2365	2540	3500	2940	0	-1	6045	-1	-1	0	0	0
37	7	2	2	0	0	%	2425231	0	-1	0	842	7	2	4	2	5	2	3	1	1550	4505	2955	0	0	1	2	4	2	5	2	3	1	2	2	2	2	2	2	2	2395	3170	3525	3860	4270	4740	5080	3500	2940	0	-1	8565	-1	-1	0	0	0
37	8	2	2	0	0	%	5452132	0	-1	0	941	3	5	4	5	2	1	3	2	1075	4250	3175	1	0	0	5	4	5	4	1	3	2	2	2	2	2	2	2	2	2020	2295	2665	2780	3950	4655	4980	3500	2940	0	-1	8410	-1	-1	0	0	0
37	9	2	2	0	0	%	3141352	0	-1	0	823	2	3	1	4	1	3	5	2	1455	4205	2750	0	0	1	3	1	4	1	3	5	2	2	2	2	2	2	2	2	2280	2670	3105	3550	3965	4350	4815	3500	2940	0	-1	8245	-1	-1	0	0	0
37	10	2	2	1	0	$	3241513	1	-1	0	822	7	3	2	4	1	5	1	3	540	2105	1565	1	0	0	3	2	4	1	5	1	2	2	2	2	2	2	2	2	1365	1580	1850	2110	2365	2575	2780	3500	2940	0	-1	6145	-1	-1	0	0	0
