BN	TN	SubNum	hand	isTrain	isChanged	symbol	cue	isMasked	digitChangePos	digitChangeValue	precueTime	windowSize	press1	press2	press3	press4	press5	press6	press7	RT	ET	MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	crossTime
37	1	4	2	1	0	#	2125341	0	-1	0	896	1	2	1	2	5	3	4	1	760	1705	945	0	0	3	2	1	2	5	3	4	1	2	2	2	2	2	2	2	1660	1800	1985	2145	2275	2390	2510	3500	2940	0	-1	5820	-1	-1	0	0	0
37	2	4	2	0	0	%	4352135	0	-1	0	810	7	4	3	5	2	1	3	5	680	2495	1815	0	0	3	4	3	5	2	1	3	5	2	2	2	2	2	2	2	1490	1770	2065	2355	2660	2935	3185	3500	2940	0	-1	6520	-1	-1	0	0	0
37	3	4	2	1	0	#	2125341	1	-1	0	928	2	2	1	2	5	3	4	1	415	1295	880	0	0	3	2	1	2	5	3	4	1	2	2	2	2	2	2	2	1345	1460	1605	1730	1865	2000	2140	3500	2940	0	-1	5440	-1	-1	0	0	0
37	4	4	2	1	0	$	3412151	1	-1	0	762	3	3	4	1	2	1	5	1	1210	2375	1165	0	0	3	3	4	1	2	1	5	1	2	2	2	2	2	2	2	1975	2115	2370	2495	2695	2810	3015	3500	2940	0	-1	6355	-1	-1	0	0	0
37	5	4	2	1	0	#	2125341	1	-1	0	940	1	2	1	2	5	3	4	1	330	1255	925	0	0	3	2	1	2	5	3	4	1	2	2	2	2	2	2	2	1270	1395	1545	1685	1820	1965	2080	3500	2940	0	-1	5410	-1	-1	0	0	0
37	6	4	2	0	0	%	5245213	0	-1	0	785	1	5	2	4	5	2	1	3	590	3840	3250	0	0	1	5	2	4	5	2	1	3	2	2	2	2	2	2	2	1375	2015	2560	3095	3525	3990	4505	3500	2940	0	-1	7840	-1	-1	0	0	0
37	7	4	2	0	0	%	4251531	0	-1	0	875	7	4	2	5	1	5	3	1	730	2595	1865	0	0	3	4	2	5	1	5	3	1	2	2	2	2	2	2	2	1605	1875	2165	2470	2765	3075	3335	3500	2940	0	-1	6685	-1	-1	0	0	0
37	8	4	2	1	0	#	2125341	0	-1	0	956	7	2	1	2	5	3	4	1	420	1375	955	0	0	3	2	1	2	5	3	4	1	2	2	2	2	2	2	2	1380	1510	1670	1805	1940	2070	2210	3500	2940	0	-1	5550	-1	-1	0	0	0
37	9	4	2	1	0	$	3412151	1	-1	0	895	7	3	4	1	2	1	5	1	430	1410	980	0	0	3	3	4	1	2	1	5	1	2	2	2	2	2	2	2	1325	1470	1590	1730	1950	2055	2195	3500	2940	0	-1	5520	-1	-1	0	0	0
37	10	4	2	1	0	$	3412151	1	-1	0	672	1	3	4	1	2	1	5	1	470	1485	1015	0	0	3	3	4	1	2	1	5	1	2	2	2	2	2	2	2	1145	1285	1420	1570	1795	1915	2055	3500	2940	0	-1	5375	-1	-1	0	0	0
37	11	4	2	0	0	%	5214231	0	-1	0	967	3	5	2	1	4	2	3	1	775	2660	1885	0	0	3	5	2	1	4	2	3	1	2	2	2	2	2	2	2	1745	1995	2265	2580	2930	3230	3475	3500	2940	0	-1	6845	-1	-1	0	0	0
37	12	4	2	1	0	$	3412151	0	-1	0	839	3	3	4	1	2	1	5	1	745	1860	1115	0	0	3	3	4	1	2	1	5	1	2	2	2	2	2	2	2	1585	1715	1845	2025	2310	2445	2585	3500	2940	0	-1	5915	-1	-1	0	0	0
37	13	4	2	1	0	$	3412151	0	-1	0	969	1	3	4	1	2	1	5	1	425	1515	1090	0	0	3	3	4	1	2	1	5	1	2	2	2	2	2	2	2	1395	1535	1685	1855	2110	2230	2370	3500	2940	0	-1	5700	-1	-1	0	0	0
37	14	4	2	1	0	#	2125341	1	-1	0	694	7	2	1	2	5	3	4	1	1380	2710	1330	1	0	0	2	3	1	5	3	2	1	2	2	2	2	2	2	2	2075	2405	2770	2935	3090	3165	3260	3500	2940	0	-1	6620	-1	-1	0	0	0
37	15	4	2	0	0	%	1534213	0	-1	0	879	1	1	5	3	4	2	1	3	645	3645	3000	0	0	1	1	5	3	4	2	1	3	2	2	2	2	2	2	2	1525	1905	2440	2925	3500	3950	4400	3500	2940	0	-1	7740	-1	-1	0	0	0
37	16	4	2	1	0	$	3412151	0	-1	0	701	7	3	4	1	2	1	5	1	465	1340	875	0	0	3	3	4	1	2	1	5	1	2	2	2	2	2	2	2	1170	1300	1440	1575	1745	1850	1960	3500	2940	0	-1	5260	-1	-1	0	0	0
37	17	4	2	0	0	%	5235413	0	-1	0	606	3	5	2	3	5	4	1	3	630	2350	1720	0	0	3	5	2	3	5	4	1	3	2	2	2	2	2	2	2	1240	1500	1760	2045	2330	2615	2840	3500	2940	0	-1	6175	-1	-1	0	0	0
37	18	4	2	1	0	#	2125341	0	-1	0	958	3	2	1	2	5	3	4	1	370	1260	890	0	0	3	2	1	2	5	3	4	1	2	2	2	2	2	2	2	1330	1455	1595	1725	1850	1985	2115	3500	2940	0	-1	5435	-1	-1	0	0	0
37	19	4	2	1	0	$	3412151	1	-1	0	682	2	3	4	1	2	1	5	1	680	1985	1305	0	0	3	3	4	1	2	1	5	1	2	2	2	2	2	2	2	1365	1510	1650	1835	2295	2435	2555	3500	2940	0	-1	5885	-1	-1	0	0	0
37	20	4	2	0	0	%	4524531	0	-1	0	880	2	4	5	2	4	5	3	1	1265	3275	2010	0	0	2	4	5	2	4	5	3	1	2	2	2	2	2	2	2	2145	2430	2710	3090	3390	3760	4055	3500	2940	0	-1	7370	-1	-1	0	0	0
37	21	4	2	0	0	%	4512453	0	-1	0	951	2	4	5	1	2	4	5	3	795	3170	2375	0	0	2	4	5	1	2	4	5	3	2	2	2	2	2	2	2	1750	1985	2565	2845	3240	3590	3995	3500	2940	0	-1	7340	-1	-1	0	0	0
37	22	4	2	1	0	#	2125341	0	-1	0	733	2	2	1	2	5	3	4	1	430	1435	1005	0	0	3	2	1	2	5	3	4	1	2	2	2	2	2	2	2	1165	1290	1480	1620	1780	1920	2070	3500	2940	0	-1	5385	-1	-1	0	0	0
37	23	4	2	1	0	$	3412151	0	-1	0	645	2	3	4	1	2	1	5	1	385	1335	950	0	0	3	3	4	1	2	1	5	1	2	2	2	2	2	2	2	1030	1160	1285	1415	1635	1745	1880	3500	2940	0	-1	5195	-1	-1	0	0	0
37	24	4	2	1	0	#	2125341	1	-1	0	993	3	2	1	2	5	3	4	1	325	1240	915	0	0	3	2	1	2	5	3	4	1	2	2	2	2	2	2	2	1320	1440	1560	1680	1855	2000	2125	3500	2940	0	-1	5450	-1	-1	0	0	0
38	1	4	2	1	1	$	3412151	0	4	3	666	1	3	4	1	2	3	5	1	815	3765	2950	1	0	0	3	4	1	2	1	5	1	2	2	2	2	2	2	2	1485	1950	2435	2980	3280	3985	4305	3150	2940	0	-1	7650	-1	-1	0	0	0
38	2	4	2	0	0	%	3124215	0	-1	0	752	1	3	1	2	4	2	1	5	625	3940	3315	0	0	1	3	1	2	4	2	1	5	2	2	2	2	2	2	2	1380	1910	2495	3060	3675	4195	4610	3150	2940	0	-1	7910	-1	-1	0	0	0
38	3	4	2	0	0	%	3435213	0	-1	0	966	1	3	4	3	5	2	1	3	540	3760	3220	0	0	1	3	4	3	5	2	1	3	2	2	2	2	2	2	2	1510	2145	2590	3150	3635	4075	4595	3150	2940	0	-1	7945	-1	-1	0	0	0
38	4	4	2	1	0	#	2125341	0	-1	0	992	7	2	1	2	5	3	4	1	495	2040	1545	0	0	3	2	1	2	5	3	4	1	2	2	2	2	2	2	2	1490	1725	1995	2235	2450	2680	2900	3150	2940	0	-1	6250	-1	-1	0	0	0
38	5	4	2	1	0	#	2125341	1	-1	0	924	1	2	1	2	5	3	4	1	520	2365	1845	0	0	3	2	1	2	5	3	4	1	2	2	2	2	2	2	2	1445	1755	2410	2615	2790	2945	3175	3150	2940	0	-1	6505	-1	-1	0	0	0
38	6	4	2	1	0	$	3412151	0	-1	0	626	3	3	4	1	2	1	5	1	780	4405	3625	1	0	0	3	1	1	2	1	5	1	2	2	2	2	2	2	2	1410	1935	3475	4075	4375	4670	4905	3150	2940	0	-1	8250	-1	-1	0	0	0
38	7	4	2	1	0	#	2125341	0	-1	0	782	2	2	1	2	5	3	4	1	460	2250	1790	0	0	3	2	1	2	5	3	4	1	2	2	2	2	2	2	2	1245	1515	1930	2180	2430	2670	2900	3150	2940	0	-1	6250	-1	-1	0	0	0
38	8	4	2	1	0	$	3412151	0	-1	0	991	2	3	4	1	2	1	5	1	520	1995	1475	0	0	3	3	4	1	2	1	5	1	2	2	2	2	2	2	2	1515	1755	2080	2315	2565	2720	2860	3150	2940	0	-1	6205	-1	-1	0	0	0
